club_id,club_name,clubelo_club,clubelo_country
452,BSC Young Boys,Young Boys,SUI
455,FC Rapid 1923,Rapid Bucuresti,ROM
456,HNK Vukovar 1991,Vukovar,CRO
458,Palermo FC,Palermo,ITA
465,St. Mirren FC,St Mirren,SCO
467,NEC Nijmegen,Nijmegen,NED
468,Sparta Rotterdam,Sparta Rotterdam,NED
472,UD Las Palmas,Las Palmas,ESP
475,Sint-Truidense VV,St Truiden,BEL
496,Malmö Fotbollförening,Malmoe,SWE
498,KSC Lokeren (- 2020),Lokeren,BEL
499,Vitesse Arnhem,Vitesse,NED
504,Grasshopper Club Zurich,Grasshoppers,SUI
506,Juventus FC,Juventus,ITA
511,Dundee FC,Dundee,SCO
512,Stoke City,Stoke,ENG
520,Cercle Brugge,Brugge,BEL
524,Gaziantepspor (- 2020),Gaziantepspor,TUR
527,Football Club Lausanne-Sport,Lausanne,SUI
533,TSG 1899 Hoffenheim,Hoffenheim,GER
543,Wolverhampton Wanderers,Wolves,ENG
553,Ionikos Nikeas,Ionikos,GRE
566,Beerschot AC,Beerschot AC,BEL
583,Paris Saint-Germain,Paris FC,FRA
589,Antalyaspor,Antalyaspor,TUR
595,SC Bastia,Bastia,FRA
599,NK Varazdin,Varazdin,CRO
601,KV Kortrijk,Kortrijk,BEL
603,Cardiff City,Cardiff,ENG
605,Aris Thessalonikis,Aris,GRE
607,Venezia FC,Venezia,ITA
610,Ajax Amsterdam,Ajax,NED
618,AS Saint-Étienne,Saint-Etienne,FRA
621,Athletic Bilbao,Bilbao,ESP
631,Chelsea FC,Chelsea,ENG
641,Middlesbrough FC,Middlesbrough,ENG
642,De Graafschap Doetinchem,De Graafschap,NED
660,FC Shakhtar Donetsk,Shakhtar,UKR
667,RC Strasbourg Alsace,Strasbourg,FRA
669,FK Partizan Belgrade,Partizan,SRB
677,Ipswich Town,Ipswich,ENG
678,Aarhus GF,Aarhus,DEN
681,Real Sociedad,Sociedad,ESP
683,Olympiakos Syndesmos Filathlon Peiraios,Olympiakos,GRE
687,Molde Fotballklubb,Molde,NOR
697,FC Slovan Liberec,Slovan Liberec,CZE
703,Nottingham Forest,Forest,ENG
714,RCD Espanyol Barcelona,Barcelona,ESP
715,"Bohemians Praha 1905, a.s.",Bohemians Praha,CZE
720,FC Porto,Porto,POR
723,Almere City FC,Almere,NED
724,FC Volendam,Volendam,NED
738,Le Havre AC,Le Havre,FRA
749,FC Empoli,Empoli,ITA
750,FC Sochaux-Montbéliard,Sochaux,FRA
759,Slask Wroclaw,Slask,POL
762,Newcastle United,Newcastle,ENG
788,FK Napredak Krusevac,Krusevac,SRB
798,Excelsior Rotterdam,Excelsior,NED
800,Atalanta BC,Atalanta,ITA
814,FK Teplice,Teplice,CZE
820,Gençlerbirliği Spor Kulübü,Genclerbirligi,TUR
825,Eskisehirspor,Eskisehirspor,TUR
826,RC Lens,Lens,FRA
833,Denizlispor,Denizlispor,TUR
855,EA Guingamp,Guingamp,FRA
862,Chievo Verona,Chievo,ITA
865,FC Midtjylland,Midtjylland,DEN
868,MKE Ankaragücü,Ankaraguecue,TUR
873,Crystal Palace,Crystal Palace,ENG
897,Deportivo de La Coruña,Depor,ESP
903,Hibernian FC,Hibernian,SCO
924,Istanbulspor,Istanbulspor,TUR
931,Fulham FC,Fulham,ENG
938,FC Thun,Thun,SUI
940,Celta de Vigo,Celta,ESP
941,FC Viktoria Plzen,Viktoria Plzen,CZE
952,UTA Arad,UTA Arad,ROM
964,AO FK Zenit Sankt-Peterburg,Zenit,RUS
968,KVC Westerlo,Westerlo,BEL
969,Montpellier HSC,Montpellier,FRA
976,CF União Madeira (-2021),U Madeira,POR
979,Moreirense FC,Moreirense,POR
982,CD Nacional,Nacional,POR
984,West Bromwich Albion,West Brom,ENG
985,Manchester United,Man United,ENG
987,Motherwell FC,Motherwell,SCO
989,AFC Bournemouth,Bournemouth,ENG
993,Córdoba CF,Cordoba,ESP
995,FC Nantes,Nantes,FRA
999,NK Istra 1961,Istra,CRO
1003,Leicester City,Leicester,ENG
1005,US Lecce,Lecce,ITA
1010,Watford FC,Watford,ENG
1011,Halmstads BK,Halmstad,SWE
1025,Bologna Football Club 1909,Bologna,ITA
1031,Luton Town,Luton,ENG
1032,Reading FC,Reading,ENG
1038,UC Sampdoria,Sampdoria,ITA
1041,Olympique Lyon,Lyon,FRA
1044,Djurgårdens Idrottsförening,Djurgarden,SWE
1047,Como 1907,Como,ITA
1049,Valencia CF,Valencia,ESP
1050,Villarreal CF,Villarreal,ESP
1053,Aalborg BK,Aalborg,DEN
1057,Bryne FK,Bryne,NOR
1059,Hammarby IF,Hammarby,SWE
1063,Viborg FF,Viborg,DEN
1071,Wigan Athletic,Wigan,ENG
1075,SC Braga,Braga,POR
1082,LOSC Lille,Lille,FRA
1083,FK Rostov,Rostov,RUS
1084,Málaga CF,Malaga,ESP
1085,Vitória Setúbal FC,Setubal,POR
1090,AZ Alkmaar,Alkmaar,NED
1092,Idrottsföreningen  Brommapojkarna,Brommapojkarna,SWE
1095,ESTAC Troyes,Troyes,FRA
1096,Royal Antwerp FC,Antwerp,BEL
1100,Sportsklubben Brann,Brann,NOR
1101,Idrottsföreningen Elfsborg,Elfsborg,SWE
1108,Deportivo Alavés,Alaves,ESP
1109,BK Häcken,Haecken,SWE
1110,Huddersfield Town,Huddersfield,ENG
1118,Örgryte IS,Oergryte,SWE
1123,Norwich City,Norwich,ENG
1124,Fakel Voronezh,Fakel Voronezh,RUS
1132,Burnley FC,Burnley,ENG
1147,AC Ajaccio,Ajaccio,FRA
1148,Brentford FC,Brentford,ENG
1158,FC Lorient,Lorient,FRA
1159,AS Nancy-Lorraine,Nancy,FRA
1160,Nîmes Olympique,Nimes,FRA
1162,SM Caen,Caen,FRA
1177,Silkeborg IF,Silkeborg,DEN
1184,KRC Genk,Genk,BEL
1186,Torpedo Moscow,Torpedo Moskva,RUS
1191,Falkirk FC,Falkirk,SCO
1210,US Livorno 1915,Livorno,ITA
1236,Östers IF,Oester,SWE
1237,Brighton & Hove Albion,Brighton,ENG
1241,Livingston FC,Livingston,SCO
1244,CD Leganés,Leganes,ESP
1245,KAS Eupen,Eupen,BEL
1268,ADO Den Haag,Den Haag,NED
1269,PEC Zwolle,Zwolle,NED
1283,FC Emmen,Emmen,NED
1293,Tromsø Idrettslag,Tromso,NOR
1301,CS Marítimo,Maritimo,POR
1304,Heracles Almelo,Heracles,NED
1321,SK Dynamo Ceske Budejovice,Ceske Budejovice,CZE
1322,FK Jablonec,Jablonec,CZE
1387,Siena FC,Siena,ITA
1390,Cagliari Calcio,Cagliari,ITA
1416,Amiens SC,Amiens,FRA
1420,Angers SCO,Angers,FRA
1421,Stade Reims,Reims,FRA
1423,Valenciennes FC,Valenciennes,FRA
1426,VVV-Venlo,Venlo,NED
1429,Cesena FC,Cesena,ITA
1434,SC Telstar,Telstar,NED
1435,Go Ahead Eagles,Go Ahead Eagles,NED
1436,SC Beira-Mar,Beira Mar,POR
1455,FC Dordrecht,Dordrecht,NED
1465,GD Estoril Praia,Estoril,POR
1467,Göztepe,Goeztepe,TUR
1496,FK Pardubice,Pardubice,CZE
1519,Dundee United FC,Dundee,SCO
1531,Elche CF,Elche,ESP
1533,SD Eibar,Eibar,ESP
1627,Catania FC,Catania,ITA
1894,Hvidovre IF,Hvidovre,DEN
1897,FC Hradec Kralove,Hradec Kralove,CZE
2036,1. Fußballclub Heidenheim 1846,Heidenheim,GER
2079,Veria NPS,Veria,GRE
2118,Wisla Plock,Plock,POL
2157,FC Blau-Weiss Linz,FC Linz,AUT
2227,SK Tavriya Simferopol ( - 2022),Simferopol,UKR
2239,US Cremonese,Cremonese,ITA
2282,Club Brugge KV,Brugge,BEL
2288,Swansea City,Swansea,ENG
2292,Elazigspor,Elazigspor,TUR
2293,Konyaspor,Konyaspor,TUR
2300,Jagiellonia Bialystok,Jagiellonia,POL
2311,"SK Sigma Olomouc, a.s.",Sigma Olomouc,CZE
2323,Orduspor,Orduspor,TUR
2362,Slaven Belupo Koprivnica,Slaven Belupo,CRO
2375,Altay SK,Altay,TUR
2381,Sivasspor,Sivasspor,TUR
2410,PFK CSKA Moskva,CSKA Moskva,RUS
2414,AC Horsens,Horsens,DEN
